team_id,team_abbreviation,season_tov_rate,season_avg_poss
1,ATL,13.568890070836256,105.0488888888889
2,BOS,12.391994157829089,98.24571428571429
3,NO,13.863682193990726,103.75753846153846
4,CHI,14.360185812563714,104.01333333333334
5,CLE,13.896993335585513,103.36825396825397
6,DAL,14.003867303160314,105.07301587301588
7,DEN,12.908539921196441,101.676875
8,DET,14.643212198349826,103.5560655737705
9,GS,15.184409000213336,102.82193548387097
10,HOU,15.62620448647121,100.43096774193549
11,IND,13.904508116565614,103.88317460317461
12,LAC,14.75956922956355,98.78774193548387
13,LAL,14.59398463061144,100.71555555555555
14,MIA,13.137444649717015,106.565625
15,MIL,14.573925091332104,100.33639344262295
16,MIN,14.186293857626781,103.27428571428571
17,BKN,15.616026431092674,99.98
18,NY,13.469382762859365,100.62707692307693
19,ORL,13.334650335835633,102.89967213114754
20,PHI,13.287050368719564,103.05935483870968
21,PHX,14.769699756252711,100.80698412698413
22,POR,16.46974579305407,104.7375
23,SAC,14.016379926345298,102.335625
24,SA,13.351581508515814,102.75
25,OKC,12.35018555697512,102.73125
26,UTAH,14.825049366661847,105.46285714285715
27,WSH,14.955723595841006,103.74709677419355
28,TOR,13.650719159838665,101.73161290322581
29,MEM,14.521207863406557,104.53901639344262
30,CHA,15.363180039861218,101.6025
